Control
0.6677
0.6613
0.6903
0.6774
0.6484
0.6645
0.6774
0.6677
0.6613
0.6968
0.6774
0.6484
0.6645
0.6935
0.671
0.6613
0.6774
0.6774
0.6581
0.6613
0.6935
0.671
0.6581
0.671
0.6774
0.6677
0.6613
0.6839
0.6742
0.6484
0.6677
0.6806
0.6677
0.6613
0.6806
0.6774
0.6484
0.6645
0.6935
0.671
0.6613
0.6774
0.6774
0.6548
0.6613
0.6935
0.671
0.6581
0.671
0.6774
0.6645
0.6613
0.6871
0.6774
0.6484
0.6677
0.6774
0.6677
0.6613
0.6806
0.6774
0.6484
0.6645
0.6935
0.671
0.6645
0.6774
0.6774
0.6548
0.6645
0.6935
0.671
0.6613
0.671
0.6774
0.6645
0.6645
0.6871
0.6742
0.6484
0.671
0.671
0.6774
0.6677
0.6613
0.6806
0.6774
0.6484
0.6645
0.6903
0.671
0.6645
0.6935
0.6677
0.6806
0.6677
0.6613
0.6806
0.6774
0.6516
0.6677
0.6935
0.671
0.6645
0.6742
0.6581
0.6645
0.6935
0.6742
0.6613
0.671
0.6774
0.6645
0.6645
0.6871
0.6774
0.6484
0.671
0.6806
0.6677
0.6613
0.6806
0.6774
0.6516
0.6677
0.6935
0.671
0.6645
0.6774
0.6774
0.6516
0.6645
0.6935
0.6742
0.6613
0.6742
0.6774
0.6645
0.6645
0.6903
0.6742
0.6484
0.671
0.6774
0.6677
0.6645
0.6839
0.6774
0.6516
0.6677
0.6935
0.6935
0.6677
0.6645
0.6742
0.6774
0.6548
0.671
0.6935
0.6742
0.6613
0.671
0.6774
0.6645
0.6645
0.6871
0.6742
0.6484
0.671
0.6774
0.6677
0.6613
0.6839
0.6774
0.6548
0.671
0.6903
0.671
0.6645
0.6742
0.6774
0.6548
0.6645
0.6935
0.6742
0.6613
0.671
0.6774
0.6645
0.6645
0.6742
0.6516
0.6677
0.6774
0.6677
0.6613
0.6839
0.6774
0.6484
0.6677
0.6839
0.671
0.6645
0.6742
0.6774
0.6548
0.6645
0.6935
0.6742
0.6613
0.6742
0.6774
0.6645
0.6645
0.6871
0.6742
0.6613
0.671
0.6774
0.6677
0.6613
0.6839
0.6774
0.6484
0.6677
0.6806
0.6677
0.6613
0.6742
0.6774
0.6548
0.6645
0.6935
