delta,theta,alpha,beta,gamma,     deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,     PFD,HFD,hjorth_mobility,hjorth_complexity,     spec_entropy,svd_entropy,fisher_info,     approx_entropy,DFA,Hurst
9.201684826236771642e+00,9.655265069900691166e-02,1.582742740524733516e-01,1.188761892364185169e+00,8.666732816409330908e+00,4.764748212677577532e-01,4.999617771471995264e-03,8.195641109702994989e-03,6.155558692676874749e-02,4.487743329242984691e-01,5.903197182451456193e-01,1.379059343565997464e+00,2.648545778459071923e-02,5.717596347755580410e+01,3.670217118743593354e-01,1.239255867002005518e+00,5.737078367462825623e-01,5.561276251692164052e-03,0.000000000000000000e+00,3.091626676637100335e-01
9.260533662539661037e+00,1.005668740873047751e-01,1.182233238395598851e-01,1.278176656418982926e+00,7.291586516737639023e+00,5.130749076276527321e-01,5.571853795151051648e-03,6.550099936873532945e-03,7.081669305698967687e-02,4.039864455833329648e-01,5.883717357642458401e-01,1.391294973475139196e+00,2.555771057486649206e-02,5.994512883635540135e+01,3.676714534495830744e-01,1.203374662605560363e+00,5.720047829156295061e-01,2.201235422754647952e-02,0.000000000000000000e+00,3.413387740559464811e-01
9.112410612470187132e+00,1.505545383595222608e-01,1.106062708964896668e-01,1.210677286854236590e+00,6.933545695354112581e+00,5.201802465739359116e-01,8.594377516253259158e-03,6.313938178863840248e-03,6.911128529869689507e-02,3.958001524322501408e-01,5.883717357642458401e-01,1.400297282638044871e+00,2.517518778494210949e-02,6.023697753477301120e+01,3.712524522233005553e-01,1.212412382522876086e+00,5.717855601044741221e-01,2.987130457448207432e-02,0.000000000000000000e+00,3.063930144295919922e-01
9.133466181359136016e+00,1.639999342600043652e-01,1.977713426034775346e-01,1.252869143447619571e+00,7.733790751714848533e+00,4.941844447418857200e-01,8.873544264651304914e-03,1.070081381916420868e-02,6.778898938198830992e-02,4.184522077923104599e-01,5.903197182451456193e-01,1.367360500558842951e+00,2.465675046151410282e-02,6.196692772158399976e+01,3.860026781492577053e-01,1.254471409333267173e+00,5.653726765529684117e-01,1.912314586339250097e-02,0.000000000000000000e+00,3.294881965019559322e-01
9.136611568226317814e+00,8.607387455531922971e-02,1.241502416826752997e-01,1.271854425273357903e+00,8.276660594847930597e+00,4.835375490548056709e-01,4.555293833971044322e-03,6.570412141254726966e-03,6.731044293158840175e-02,4.380263020383800554e-01,5.923356877662105946e-01,1.329955182734815500e+00,2.384458621367166117e-02,6.408497157896761109e+01,3.669364851493710500e-01,1.191686598082284387e+00,5.853923656635463546e-01,-1.696648821535491364e-03,0.000000000000000000e+00,3.090686077563361556e-01
9.168040064417080970e+00,1.482376343545194208e-01,2.300273454005510865e-01,1.228972228046682158e+00,7.169157538984775258e+00,5.109127236870684152e-01,8.260925234712172133e-03,1.281886823523321721e-02,6.848765319035701737e-02,3.995198296526292214e-01,5.944240987587744440e-01,1.338177901973376160e+00,2.434953436416847569e-02,6.117537184400975292e+01,3.865946301525370332e-01,1.197465922126005999e+00,5.870031717396663185e-01,1.874297836352390584e-02,0.000000000000000000e+00,3.289389181264956719e-01
9.054951349053489196e+00,9.931462491591169783e-02,2.047058321349140286e-01,1.032052098528240425e+00,6.896076274190374278e+00,5.237981648388894129e-01,5.745013558582499902e-03,1.184153675384394706e-02,5.970070676124884790e-02,3.989145780874351344e-01,5.944240987587744440e-01,1.351501735486885236e+00,2.434824128128563331e-02,6.203758989472024865e+01,3.660571945090290713e-01,1.237988433443422798e+00,5.736094497975122719e-01,-3.386708352866496866e-03,0.000000000000000000e+00,3.214429710324964162e-01
9.076384298028495223e+00,1.499544798719733563e-01,1.204613338250338367e-01,1.195796687256539315e+00,8.843992600614200228e+00,4.681784975658239145e-01,7.734959294856496442e-03,6.213642396921175738e-03,6.168164304761331040e-02,4.561912576947852460e-01,5.933705433020527442e-01,1.334479849971230703e+00,2.484167423297250002e-02,6.190183497370054511e+01,3.705101541504234319e-01,1.254498376964561679e+00,5.720235094573330459e-01,-3.828369379465646274e-03,0.000000000000000000e+00,3.528456941491823207e-01
9.048464517246287642e+00,1.409512595173683103e-01,1.871379602211858950e-01,1.123521924030225216e+00,7.543987857009347486e+00,5.014649005312842300e-01,7.811503178126730403e-03,1.037116501137627309e-02,6.226546048831665264e-02,4.180869707908960731e-01,5.944240987587744440e-01,1.334823148739365806e+00,2.507063136500537609e-02,6.078254736497370914e+01,3.754591601928915501e-01,1.206743599034196812e+00,5.795039942700327407e-01,-2.243585441346078371e-03,0.000000000000000000e+00,3.374460300268046775e-01
9.031994636646315300e+00,9.588411747419726960e-02,1.710676626117359767e-01,1.011926531773860827e+00,6.422357811534538108e+00,5.397639443433083217e-01,5.730161667474927868e-03,1.022322975550242312e-02,6.047406781662064551e-02,3.838085964170936393e-01,5.933705433020527442e-01,1.345409017491264292e+00,2.492371638972095196e-02,6.137115590311379520e+01,3.597073772707241046e-01,1.199316782633915723e+00,5.832262996687507250e-01,-3.040759246762860663e-03,0.000000000000000000e+00,3.166487028526729364e-01
9.053745387532753597e+00,1.123434114154743951e-01,1.373299461074704575e-01,1.333648240661479800e+00,8.735675001088349489e+00,4.673445500744869974e-01,5.799045457374580118e-03,7.088823368473277237e-03,6.884148054879410394e-02,4.509261005508709563e-01,5.903197182451456193e-01,1.287446493635296951e+00,2.483776232300553138e-02,6.241883814021971943e+01,3.757023488601558547e-01,1.289728130298394282e+00,5.765828858032410187e-01,-2.211253121163281321e-02,0.000000000000000000e+00,3.147630136800733114e-01
9.006390940684156021e+00,1.460562328789597741e-01,2.651685896111780072e-01,1.438349555669776514e+00,9.011764924518026021e+00,4.533175571826195127e-01,7.351430238376518121e-03,1.334669770341642865e-02,7.239626963177316077e-02,4.535880452438144084e-01,5.923356877662105946e-01,1.265396123217009006e+00,2.454989279181623782e-02,6.375387566173835552e+01,3.991821412657173829e-01,1.339869352020147453e+00,5.669415839431207749e-01,3.485581615070829954e-03,0.000000000000000000e+00,3.606270336506042784e-01
9.012234718348599571e+00,1.243598337194612713e-01,2.569610382461537390e-01,1.329244225907755705e+00,7.965589869206198159e+00,4.822370931924475079e-01,6.654390015017073133e-03,1.374976884426339953e-02,7.112673955767320755e-02,4.262320083905987156e-01,5.923356877662105946e-01,1.307735174771711639e+00,2.359605371705383176e-02,6.501979685601092740e+01,3.926900027100677093e-01,1.258002737987204522e+00,5.849110615791787149e-01,1.423567759357572890e-02,0.000000000000000000e+00,3.725015451433920655e-01
9.052288576413658916e+00,1.697883301414140345e-01,2.046811503850122227e-01,1.138368476439681976e+00,7.019857050950116140e+00,5.147737859977432606e-01,9.655302168875138855e-03,1.163954173761101545e-02,6.473525954576898889e-02,3.991961105500016482e-01,5.903197182451456193e-01,1.310661708029096761e+00,2.397819706174891125e-02,6.288933329882672041e+01,3.825381938685586403e-01,1.233027943791598524e+00,5.849942288825392689e-01,9.696095697279361048e-03,0.000000000000000000e+00,3.368111275690248152e-01
