delta,theta,alpha,beta,gamma,     deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,     PFD,HFD,hjorth_mobility,hjorth_complexity,     spec_entropy,svd_entropy,fisher_info,     approx_entropy,DFA,Hurst
9.141457846253922881e+00,1.919066405973187395e-01,3.394317139614424494e-01,2.020392257489776355e+00,9.270856753968889308e+00,4.360540989914937771e-01,9.154084464814346567e-03,1.619113632529066080e-02,9.637416047486556392e-02,4.422265197435356066e-01,5.874219543968483004e-01,1.223565920812043517e+00,2.501191957414188038e-02,6.168577374963458482e+01,4.331419422968966204e-01,1.339180164491005076e+00,5.745293938621687246e-01,-2.320640445125398549e-02,0.000000000000000000e+00,3.277330988597684791e-01
9.132809815215887639e+00,1.766063630389452799e-01,3.937013682310514517e-01,2.016463549685322931e+00,9.988583462307001781e+00,4.207085214695883701e-01,8.135481125693372340e-03,1.813609654425112766e-02,9.288963810152181533e-02,4.601302627589452521e-01,5.874219543968483004e-01,1.172958069657772606e+00,2.492834406358694285e-02,6.344013915862188213e+01,4.329837726924891106e-01,1.332586301780137594e+00,5.844071152463444774e-01,-4.206762522971022045e-02,0.000000000000000000e+00,3.924565637343120361e-01
9.106357977706085904e+00,1.439788307123002764e-01,4.753487185654617364e-01,1.574684853982547539e+00,1.018340307471227035e+01,4.238714393676061287e-01,6.701747763693872116e-03,2.212594168087431146e-02,7.329647453372868660e-02,4.740043966540969933e-01,5.923356877662105946e-01,1.207838602901611047e+00,2.480018022181292026e-02,6.384983177341663918e+01,4.182999964791047076e-01,1.329520271455875813e+00,5.952878199652859026e-01,-2.588506162899472871e-02,0.000000000000000000e+00,3.559885545491496273e-01
9.192708123135208353e+00,1.300587757381848897e-01,3.825999336217370539e-01,1.789656576228532581e+00,8.947771656955104902e+00,4.496796105229645124e-01,6.362083820746188174e-03,1.871563709328969566e-02,8.754461268523754114e-02,4.376980558777621710e-01,5.954969793383102505e-01,1.203124681138732166e+00,2.349393735791152626e-02,6.487460755719766325e+01,4.220423554418636369e-01,1.238842587921147764e+00,6.059338126593983853e-01,-2.244891664502582374e-02,0.000000000000000000e+00,4.068733873107370225e-01
9.287846979017604809e+00,3.062998701145944747e-01,4.497525087545810596e-01,2.196759066347645728e+00,8.180621824013799781e+00,4.548121795554092572e-01,1.499905326165187035e-02,2.202371757731308791e-02,1.075720542318147482e-01,4.005929953738109894e-01,6.023792391151625569e-01,1.118318075173728499e+00,2.196781373476416194e-02,6.920549629890477661e+01,4.630202080994670899e-01,1.334023389965697692e+00,5.852752540418086902e-01,-3.519533526177529709e-02,0.000000000000000000e+00,4.091010246708117748e-01
9.214008635828527360e+00,3.153989344158668051e-01,4.315583376377358227e-01,2.176543730469516102e+00,8.778260873020609978e+00,4.405292470970034180e-01,1.507947958428684614e-02,2.063315513062692272e-02,1.040623260465634026e-01,4.196957921415193082e-01,6.048618971198859162e-01,1.168880174323507104e+00,2.431055319176499835e-02,6.142235081078015213e+01,4.597437232196287527e-01,1.388813029210074879e+00,5.523430726854819950e-01,-1.901277166105933003e-02,0.000000000000000000e+00,5.001377148929526673e-01
9.078536629030800498e+00,1.473224616656700348e-01,3.476632075370256758e-01,2.250185660246247554e+00,1.013097137307087081e+01,4.135126043942816132e-01,6.710298949980835273e-03,1.583549467003173700e-02,1.024923036344490002e-01,4.614492983512568092e-01,5.988382967930719891e-01,1.165607325910030356e+00,2.531643490973911267e-02,6.272075185326308855e+01,4.336040185721671270e-01,1.386613621129114238e+00,5.501448414703529188e-01,-3.519533526177433258e-02,0.000000000000000000e+00,4.194448164901388720e-01
9.197546125749520129e+00,1.156362341926198689e-01,3.320323787167884788e-01,2.099390932324169956e+00,9.697926370534254659e+00,4.289393672324282036e-01,5.392844183174041843e-03,1.548475609475142255e-02,9.790779037938698859e-02,4.522752421102593789e-01,5.988382967930719891e-01,1.108290837212881685e+00,2.431102728192856971e-02,6.602199416369792573e+01,4.245497813182116387e-01,1.326637732511583012e+00,5.950046436661311500e-01,-4.893991519764513687e-02,0.000000000000000000e+00,4.202819943183203621e-01
9.179135815592225356e+00,2.122949899093526105e-01,3.234197063738630806e-01,2.454026063587892992e+00,8.756523119274103095e+00,4.386599993070001702e-01,1.014532544211057749e-02,1.545584366807581031e-02,1.172749911298019421e-01,4.184638404530115485e-01,6.036077561919560575e-01,1.064408208224971064e+00,2.304371712181933068e-02,6.657432956812147040e+01,4.497463729981902580e-01,1.342522383073590841e+00,5.837237429933987976e-01,-4.893991519764513687e-02,0.000000000000000000e+00,4.514378167618302018e-01
9.455247230215070076e+00,2.632722261406730269e-01,3.432959864997280341e-01,2.493678470447036943e+00,8.656029751850228493e+00,4.457599265133689315e-01,1.241175458664427363e-02,1.618440956524544450e-02,1.175624396348182304e-01,4.080814696999230939e-01,6.159492617696192829e-01,1.042529540534592680e+00,2.289035218492938700e-02,6.529247745496169841e+01,4.554727350476170389e-01,1.323890895972319681e+00,5.924765934380452626e-01,-4.206762522970973472e-02,0.000000000000000000e+00,4.385344305828506872e-01
9.332304315850645793e+00,3.516449126114064572e-01,3.791009646764768037e-01,2.160220049575329426e+00,8.722894432193319503e+00,4.455376180170320666e-01,1.678803342134828000e-02,1.809882479968408578e-02,1.031320092772498032e-01,4.164435144846856396e-01,6.174863277936000205e-01,1.080444398290475672e+00,2.258100187571591630e-02,6.725460750355715334e+01,4.571285911025772530e-01,1.280678848488548516e+00,6.030709347000219323e-01,-4.893991519764513687e-02,0.000000000000000000e+00,nan
9.135486493936989305e+00,1.022381729119147542e-01,4.441867075306706325e-01,2.036396401194325634e+00,8.845316257374786773e+00,4.442546935938616604e-01,4.971797419953825209e-03,2.160060438855325449e-02,9.902906209194682619e-02,4.301438425056843817e-01,6.129844704326825600e-01,1.175014463385988472e+00,2.231131750073681724e-02,6.799069134810076775e+01,4.340941928846215325e-01,1.292771613017723586e+00,5.897495175610246720e-01,-4.206762522971022045e-02,0.000000000000000000e+00,4.218721933717604067e-01
9.240200068715267889e+00,2.150694863600106088e-01,4.043542940162026533e-01,1.876976562585035202e+00,9.346384410764423833e+00,4.382776037897587185e-01,1.020109287993645371e-02,1.917917683011391428e-02,8.902802797577136218e-02,4.433140985244194421e-01,6.144491713339736982e-01,1.177127300945105315e+00,2.316766270797970817e-02,6.499322727888643669e+01,4.346148120367935852e-01,1.256491202851543365e+00,6.002544449074186383e-01,-3.519533526177481830e-02,0.000000000000000000e+00,4.087511975596446745e-01
9.296834436185809736e+00,1.703174133277933211e-01,4.029845610818751922e-01,2.258681462968820775e+00,8.296902692567410753e+00,4.551533154527275249e-01,8.338379680479913666e-03,1.972927024910307858e-02,1.105802586330288523e-01,4.061987759846606982e-01,6.257896937751433741e-01,1.106561893710165556e+00,2.351429725626420081e-02,6.233149433906104520e+01,4.468175363941869760e-01,1.291853625461448551e+00,5.893899476787682890e-01,-4.206762522971022045e-02,0.000000000000000000e+00,4.395254510352463173e-01
9.283834433769936112e+00,3.000557024718242261e-01,3.050616034755614381e-01,2.069187721166620975e+00,9.223359450158806538e+00,4.382992191798998904e-01,1.416593338044614889e-02,1.440226703297757711e-02,9.768844640583353167e-02,4.354441340008429195e-01,6.159492617696192829e-01,1.166101936997992139e+00,2.348303823753454533e-02,6.499210467605873021e+01,4.412269167023813443e-01,1.280070037438697961e+00,5.918832553850256195e-01,-4.206762522971022045e-02,0.000000000000000000e+00,nan
9.195007004148131102e+00,2.318042720736041562e-01,3.819345618345033611e-01,2.085179931858863078e+00,8.995362346790395591e+00,4.401780928472490695e-01,1.109680094307409839e-02,1.828375192590044052e-02,9.982053577935530442e-02,4.306208185044209102e-01,6.174863277936000205e-01,1.165871036095518010e+00,2.330446065778941575e-02,6.430649564480883384e+01,4.438436301608214007e-01,1.303647610496004638e+00,5.814479160823841086e-01,-2.145075532590498199e-02,0.000000000000000000e+00,3.947606661136794370e-01
9.124983557809251522e+00,1.316728771024558431e-01,2.230853778507968233e-01,2.070498515037436871e+00,7.562160652154424234e+00,4.774378461073413016e-01,6.889394861512069222e-03,1.167228429775909147e-02,1.083327268619486972e-01,3.956677478714388241e-01,6.115536695501301301e-01,1.230008369180987327e+00,2.375044483241806059e-02,6.238111961646090720e+01,4.225055388004286261e-01,1.261947563504796088e+00,5.803267945309675824e-01,-2.544340060239268925e-02,0.000000000000000000e+00,3.437358585210941175e-01
9.233303994416266036e+00,2.131972211123807082e-01,4.225986902881834761e-01,1.983782801064132739e+00,8.864921642938798030e+00,4.456700062666917872e-01,1.029053163706681630e-02,2.039785119854459899e-02,9.575255985470253195e-02,4.278890510429944061e-01,6.087882479385345880e-01,1.150186147363768008e+00,2.298006681734834564e-02,6.554934711837556449e+01,4.419582674946566092e-01,1.290207435770690303e+00,5.809862969841260716e-01,-3.131752925120435266e-02,0.000000000000000000e+00,3.527037971421079221e-01
9.232528053521903644e+00,1.828645457529845253e-01,3.877649921721320059e-01,2.437437143416834040e+00,9.376884974425630404e+00,4.270862365863349330e-01,8.459105696507433075e-03,1.793756707011045712e-02,1.127530672490658636e-01,4.337640233979813686e-01,6.174863277936000205e-01,1.101763725074142997e+00,2.352997047096056296e-02,6.419472096584028975e+01,4.485648305548149972e-01,1.326600157850837958e+00,5.803245311678429941e-01,-4.206762522971069923e-02,0.000000000000000000e+00,4.294382235038753381e-01
9.129801608074657793e+00,1.654611389108667230e-01,3.197562935129236172e-01,1.901208420440473112e+00,9.257928704549005516e+00,4.394788185544682979e-01,7.964758596825561796e-03,1.539202319293884146e-02,9.151796132152639762e-02,4.456464383342408908e-01,6.061426518140711206e-01,1.187565800495653967e+00,2.519218286933400108e-02,6.008229223824891108e+01,4.243098696321280783e-01,1.323300550079031357e+00,5.749560736747942880e-01,-3.275735159692964860e-02,0.000000000000000000e+00,3.460207148846010661e-01
9.234594452990442903e+00,1.705730182353910607e-01,2.951219473984921238e-01,1.922011372966749176e+00,9.860086007940491726e+00,4.298681770869057783e-01,7.940133460361605000e-03,1.373785651252342963e-02,8.946917262511348834e-02,4.589846603150956605e-01,6.023792391151625569e-01,1.196957165471846496e+00,2.415689838744463497e-02,6.294178412407282508e+01,4.201425630866030825e-01,1.327885695759822626e+00,5.773250127148282784e-01,-2.932120661295977912e-02,0.000000000000000000e+00,3.672183874367264678e-01
9.235099400167991135e+00,2.043323441836470411e-01,2.108359055290740525e-01,1.519537455470864717e+00,8.745778556558574834e+00,4.637122143615965975e-01,1.025992246335446015e-02,1.058647886540786849e-02,7.629891653022848053e-02,4.391424677794126263e-01,6.011754083795008974e-01,1.244629182301500991e+00,2.396498108127572205e-02,6.253584721818815950e+01,4.025118390018593284e-01,1.299439800558232827e+00,5.720055451977426042e-01,3.179318508155332037e-03,0.000000000000000000e+00,3.571053642345939916e-01
9.187400696368452913e+00,1.414896534971132047e-01,2.466713262194849265e-01,1.403556169108014062e+00,9.602988271968422751e+00,4.463780647165132009e-01,6.874401127450132515e-03,1.198474659567559317e-02,6.819302947513812552e-02,4.665697580852229409e-01,5.999953753101423537e-01,1.244924202404271041e+00,2.568301687508928524e-02,6.015568126483677247e+01,3.917058377164899241e-01,1.337550317124765353e+00,5.610866180780613721e-01,-1.757294931533644536e-02,0.000000000000000000e+00,3.240422098753167335e-01
9.147385450408931362e+00,1.500103471229539687e-01,2.920902693407216866e-01,1.421183809873442394e+00,1.007677952414036149e+01,4.337833977220791892e-01,7.113726476405831355e-03,1.385137973720253039e-02,6.739477036107091590e-02,4.778567257032414473e-01,6.061426518140711206e-01,1.229927333295901981e+00,2.456803208766310948e-02,6.302345710461094086e+01,3.967436774266467903e-01,1.261453356936369730e+00,6.042348459348989564e-01,1.359302905326866505e-02,0.000000000000000000e+00,3.623191017054507856e-01
9.201459355154263164e+00,1.771291060468085099e-01,2.431784519949835022e-01,1.805629245679705619e+00,8.592715218639431995e+00,4.596107974448395694e-01,8.847558472913600799e-03,1.214670824799206177e-02,9.019076925354309326e-02,4.292041665807116990e-01,6.023792391151625569e-01,1.257746333463514388e+00,2.391372505404099069e-02,6.156534825867808536e+01,4.160936149282349339e-01,1.243815711974464833e+00,5.898442735939988246e-01,-4.134632486380180987e-03,0.000000000000000000e+00,3.370029083088262323e-01
9.263718143220209811e+00,7.386666923070211999e-02,1.507402902074745366e-01,1.708406176477903049e+00,8.788696479057669819e+00,4.635236360864038452e-01,3.696026431078866439e-03,7.542510074405163988e-03,8.548259247428229013e-02,4.397552349338299527e-01,5.977033722676360350e-01,1.265705775218650020e+00,2.369298796547372396e-02,6.341184495513874708e+01,3.878392639203790959e-01,1.259264863562243209e+00,5.847091679745067827e-01,-7.379353629352277712e-03,0.000000000000000000e+00,nan
9.235831465426874942e+00,7.570489109580197384e-02,1.802085666840520517e-01,1.330302982456295968e+00,8.166020009955250458e+00,4.864018554426023377e-01,3.986971788400459245e-03,9.490621556910744383e-03,7.005994440129849343e-02,4.300606068107880597e-01,5.965898409605003838e-01,1.313251662200858760e+00,2.410859424842420884e-02,6.282484422313400785e+01,3.746875031837703096e-01,1.279886075691618830e+00,5.658339742379612236e-01,6.360592501064313503e-04,0.000000000000000000e+00,3.395899310531624860e-01
9.249336164285043793e+00,9.297641081723626022e-02,1.914969935369437715e-01,1.517003287957609858e+00,9.718809970576012702e+00,4.453300014762020531e-01,4.476557498944827226e-03,9.220051569083322074e-03,7.303952029272858804e-02,4.679338691630411939e-01,5.988382967930719891e-01,1.304634465985233360e+00,2.547340395132769233e-02,6.131311050678234409e+01,3.844780121053958388e-01,1.338049172693020150e+00,5.588542924078402363e-01,-1.757294931533307306e-02,0.000000000000000000e+00,3.363550265899820646e-01
9.283236316969954771e+00,1.761461930100216566e-01,3.398390419538022122e-01,1.690094873910021445e+00,9.355256453953247231e+00,4.453550749397912623e-01,8.450458257206404714e-03,1.630347831608392264e-02,8.108081099364204680e-02,4.488101774932762855e-01,5.977033722676360350e-01,1.256494601476839890e+00,2.497661152351112260e-02,6.236175754741503852e+01,4.171581778032357746e-01,1.322351790133897032e+00,5.596886067917634655e-01,-1.513496565048983063e-02,0.000000000000000000e+00,3.323576090671725991e-01
9.255307165036358086e+00,1.416728680997980661e-01,3.457763536537165061e-01,1.471021071033657313e+00,6.464440592102091543e+00,5.235429916577648557e-01,8.013978993793106562e-03,1.955945744515643139e-02,8.321093601624890423e-02,3.656726358870366900e-01,5.999953753101423537e-01,1.277014002636441825e+00,2.423030315220974992e-02,6.174401999939467345e+01,4.109074422910219959e-01,1.232046021244370015e+00,5.781143618284017016e-01,-2.042597927638645748e-03,0.000000000000000000e+00,nan
9.049290083283695552e+00,2.127397410004301104e-01,1.586390233865722643e-01,1.041089046752509573e+00,6.842420175236872737e+00,5.229540546135549306e-01,1.229412573911458501e-02,9.167671688765078458e-03,6.016402758694915781e-02,3.954201203716163904e-01,6.011754083795008974e-01,1.324140699239766406e+00,2.435474743367225386e-02,6.244168571565518988e+01,3.760354236875866896e-01,1.205246101263412806e+00,5.864323667063739975e-01,5.271353066895903203e-03,0.000000000000000000e+00,3.446785574383435802e-01
9.092618926228963616e+00,1.813407156056113800e-01,2.145111689658904530e-01,1.220839867890177288e+00,7.957335195538077777e+00,4.871051279106486942e-01,9.714692014164763578e-03,1.149168256639216713e-02,6.540220863008260055e-02,4.262862888787117832e-01,5.988382967930719891e-01,1.302395266648118444e+00,2.480821389645018749e-02,6.104887516301299399e+01,3.883777801970080268e-01,1.261637748119071256e+00,5.702821391516794680e-01,1.342216386603874503e-02,0.000000000000000000e+00,3.824465064438807849e-01
9.091028617380619181e+00,1.171405144471679288e-01,2.443848959190757786e-01,1.207194883101385896e+00,9.121650937473765097e+00,4.595745845636793336e-01,5.921750500235935070e-03,1.235427713877418517e-02,6.102676718320255295e-02,4.611226206141079698e-01,5.977033722676360350e-01,1.310209484840772598e+00,2.505923658237860924e-02,6.006016000808038058e+01,3.806366166856322564e-01,1.270926310355523059e+00,5.852936834221701412e-01,1.458162669967743783e-02,0.000000000000000000e+00,3.487801012858709471e-01
9.000538060576612764e+00,1.097230522141093984e-01,1.706762596665429288e-01,1.222220839880377774e+00,8.899531407709707409e+00,4.638809483030141290e-01,5.655043417317812474e-03,8.796525791465319849e-03,6.299234094934695605e-02,4.586751415388559128e-01,5.954969793383102505e-01,1.289141141883970443e+00,2.515120379274522755e-02,6.037205533817542147e+01,3.736588383773394861e-01,1.312640881394467662e+00,5.603450698819132381e-01,-5.939531283629394774e-03,0.000000000000000000e+00,3.080546911373873709e-01
9.009169014606515091e+00,9.959592901917399543e-02,2.400329283411631320e-01,1.335407135427168601e+00,8.645790950452655110e+00,4.660719554340826964e-01,5.152402992549243686e-03,1.241763986214006014e-02,6.908470846757126804e-02,4.472732932436566666e-01,5.965898409605003838e-01,1.305436095295413601e+00,2.582872406529709494e-02,5.997208885620067065e+01,3.865143215790513564e-01,1.315118456766402710e+00,5.516910161467168949e-01,2.025476783478504308e-02,0.000000000000000000e+00,3.331687734033719206e-01
9.101495105181099277e+00,1.480363473943652752e-01,2.386554355562082452e-01,1.186926983681637404e+00,7.699211636956039051e+00,4.953376438681958982e-01,8.056695595368291996e-03,1.298852768458397602e-02,6.459703694239897487e-02,4.190200959094528832e-01,5.944240987587744440e-01,1.345377298370182384e+00,2.474824487518395913e-02,6.049201477097958701e+01,3.853600707514179269e-01,1.249923336980735433e+00,5.746959710790094933e-01,3.055363911397679724e-02,0.000000000000000000e+00,3.596102512771635618e-01
9.145442945069222063e+00,1.665121371097640357e-01,1.922283116008793868e-01,1.252100067025541552e+00,7.567636403596687877e+00,4.990986106000216416e-01,9.087146109673149841e-03,1.049056713974839093e-02,6.833145289278405587e-02,4.129922232577728503e-01,5.893374914205662396e-01,1.387615361041279138e+00,2.412741472142211283e-02,6.345328781209671831e+01,3.856844198008979041e-01,1.259251325522960263e+00,5.720784031731388497e-01,1.900636933005945065e-02,0.000000000000000000e+00,3.269184150921082277e-01
9.121436804323979075e+00,1.417524996912634672e-01,1.933245678369482357e-01,1.096295656464780111e+00,7.046281438068823455e+00,5.182902242931690662e-01,8.054535314466541168e-03,1.098491781230050493e-02,6.229274333309039319e-02,4.003775792469734807e-01,5.903197182451456193e-01,1.371383529916023525e+00,2.644471689199481140e-02,5.708640835563001303e+01,3.740065639757054194e-01,1.197688657599414341e+00,5.750499761406749899e-01,-1.602785137640597851e-02,0.000000000000000000e+00,3.296853377172463406e-01
9.076085398864780274e+00,9.089984246990914785e-02,1.402238048908056034e-01,1.194204050724378519e+00,9.000015258745893476e+00,4.654061863224462914e-01,4.661188955595660897e-03,7.190437660934234469e-03,6.123674783932369498e-02,4.615054392217002310e-01,5.923356877662105946e-01,1.375122371938539478e+00,2.727807807374233937e-02,5.594226957740936967e+01,3.650383386311926714e-01,1.256296222562818699e+00,5.526877574684373462e-01,-1.350699715433300620e-03,0.000000000000000000e+00,2.495621973147558736e-01
9.099053568489594568e+00,8.058844067071541106e-02,2.449135318009085793e-01,1.500119351491299380e+00,8.948965411463550623e+00,4.578453383146237621e-01,4.055041725538103235e-03,1.232353650642699534e-02,7.548286718240056203e-02,4.502932162710105435e-01,5.923356877662105946e-01,1.362820191957174965e+00,2.877895991678676782e-02,5.344780446442187838e+01,3.909611399611823690e-01,1.352880968017003083e+00,5.181580477144690500e-01,-2.493822626949865427e-03,0.000000000000000000e+00,2.616794180499361633e-01
9.058758186993330241e+00,1.161659343629514313e-01,3.455198962200522472e-01,1.540812428359323416e+00,9.183706147234333983e+00,4.474573931813273231e-01,5.738016745071295756e-03,1.706695651473417313e-02,7.610843543268114297e-02,4.536291981261859063e-01,5.933705433020527442e-01,1.337457500946416022e+00,2.862611030713445304e-02,5.306234559022581720e+01,4.069389457473883698e-01,1.339339957256472369e+00,5.339773683813577865e-01,5.376628660108785825e-03,0.000000000000000000e+00,3.267457733363053340e-01
8.926598585512445894e+00,1.397120845855570892e-01,3.200586022170033296e-01,1.571217136398803227e+00,1.015230701740528119e+01,4.228632710417970508e-01,6.618322592415010544e-03,1.516154514645713831e-02,7.443036801193651797e-02,4.809264932073943344e-01,5.954969793383102505e-01,1.359623628792189010e+00,3.059342862118695494e-02,4.997129155777560072e+01,4.063809425577670220e-01,1.352103292354794206e+00,5.185722822326074288e-01,-2.493822626949383607e-03,0.000000000000000000e+00,3.435039520425102744e-01
9.056101781296042930e+00,1.571993512296563922e-01,2.455919036630149765e-01,1.621773520914519651e+00,8.631182405474191910e+00,4.594242680374063803e-01,7.974865854953352290e-03,1.245910031723896499e-02,8.227404359648990417e-02,4.378677221939112907e-01,6.011754083795008974e-01,1.340845546960774737e+00,2.960289693897123070e-02,5.167288817131707646e+01,4.075923493473440073e-01,1.345411821715119194e+00,5.134282839215734695e-01,5.818289686708898872e-03,0.000000000000000000e+00,3.244852202701919985e-01
9.070324381398382485e+00,1.024255757693617597e-01,2.346929994381316553e-01,1.607792063991404508e+00,8.715277237423563861e+00,4.597105367961805134e-01,5.191227395919421027e-03,1.189492682039840557e-02,8.148759864751130289e-02,4.417157103399902973e-01,5.977033722676360350e-01,1.338147725443300962e+00,2.762505075557422640e-02,5.511928895496403413e+01,3.986522596805459617e-01,1.337371067516782919e+00,5.301346817780648868e-01,9.053447156970852172e-03,0.000000000000000000e+00,nan
9.131299435032115497e+00,2.105014884468495717e-01,2.751687603911622260e-01,1.436210566295684554e+00,8.398134084655870524e+00,4.694438266665246218e-01,1.082196733976019745e-02,1.414653815441951727e-02,7.383617073755190108e-02,4.317514971017437642e-01,5.933705433020527442e-01,1.332509832357882118e+00,2.565785667104925755e-02,5.945388670857095548e+01,4.079864336111096446e-01,1.276448472720343563e+00,5.538964199147790035e-01,1.857427197616562733e-02,0.000000000000000000e+00,3.622224516788244975e-01
9.167732462448869413e+00,1.989751929063389713e-01,2.864255535389809149e-01,1.453285757040122084e+00,7.630791585665917864e+00,4.892794707729807291e-01,1.061925372287315927e-02,1.528645647388101290e-02,7.756147869705216913e-02,4.072533403332130320e-01,5.988382967930719891e-01,1.318639735782556333e+00,2.523987773716302938e-02,6.008843862887783871e+01,4.102193272622066123e-01,1.293295058725422164e+00,5.472047964857422730e-01,2.523601075768393265e-02,0.000000000000000000e+00,3.951171248919062573e-01
9.083852023095243311e+00,1.921770861882775017e-01,1.981658648054999694e-01,1.111995202603033528e+00,6.096859109519536801e+00,5.444959052301652225e-01,1.151930219058396911e-02,1.187827605168573566e-02,6.665419393816025828e-02,3.654523225894047433e-01,5.988382967930719891e-01,1.352633813229973114e+00,2.556610233022272444e-02,5.944008314833938300e+01,3.824860968572221243e-01,1.166625144879917642e+00,5.677268997391760053e-01,1.489258976825289958e-03,0.000000000000000000e+00,3.621215417691260319e-01
9.098445691395058432e+00,1.815794626488383412e-01,1.159535253020002876e-01,1.227843780979842370e+00,7.091700457311351791e+00,5.135860642497260820e-01,1.024973767317152035e-02,6.545306387008204864e-03,6.930892114719540420e-02,4.003099705428987409e-01,5.965898409605003838e-01,1.339397307983627439e+00,2.465895403380534423e-02,6.159531833925247213e+01,3.772032336107892792e-01,1.251963491364333159e+00,5.680037783358694581e-01,8.055285837845673619e-03,0.000000000000000000e+00,3.311846157970222970e-01
9.130869945472845473e+00,1.047891964515406671e-01,1.574148275337001468e-01,1.159611209030480206e+00,7.897311194720386673e+00,4.948981973097667519e-01,5.679632360454225058e-03,8.531970649180211155e-03,6.285156839999922473e-02,4.280386312805995463e-01,5.913189358121807571e-01,1.332194166500592969e+00,2.282188515577208976e-02,6.672537436207284145e+01,3.678528707178636004e-01,1.180836689776013415e+00,6.023213512070637599e-01,3.246845369588654325e-03,0.000000000000000000e+00,3.370320254698234153e-01
9.022064737403258761e+00,5.387121925003621192e-02,1.902024531577077848e-01,1.160352480855434187e+00,7.807436698398008801e+00,4.947954681367783270e-01,2.954449554924456697e-03,1.043123881175107848e-02,6.363700169300552656e-02,4.281818418035407414e-01,5.883717357642458401e-01,1.310485155537326252e+00,2.315543005449811204e-02,6.537389406815086090e+01,3.654944545162277514e-01,1.242149302147161016e+00,5.859141409744065276e-01,1.661763533711207996e-02,0.000000000000000000e+00,3.368506670881013521e-01
9.025779542364285035e+00,1.077965487488299345e-01,2.522987481432485968e-01,1.231536227075437973e+00,7.321953085068339639e+00,5.031270599220115658e-01,6.008939215407842205e-03,1.406397384065348997e-02,6.864993746053804635e-02,4.081500895613890401e-01,5.944240987587744440e-01,1.312218489584521475e+00,2.259341242849253681e-02,6.719914304892110124e+01,3.853536522447204571e-01,1.220389532968652713e+00,5.967345856122669989e-01,6.921726599036361754e-03,0.000000000000000000e+00,3.138959348290905615e-01
9.003906092888941615e+00,1.599368064156761193e-01,2.160678242592138920e-01,1.230408489128420157e+00,6.490370693303010086e+00,5.265229731890699316e-01,9.352652278643128897e-03,1.263503551300954042e-02,7.195080993177101203e-02,3.795385290875064599e-01,5.965898409605003838e-01,1.304619685706938759e+00,2.209378475278476334e-02,6.819807728435974070e+01,3.889740257806866830e-01,1.160739275517642444e+00,6.039646230019156681e-01,1.214364303483323089e-02,0.000000000000000000e+00,3.555671217770757231e-01
9.038072095005421858e+00,1.193721740532953934e-01,1.862128480200113123e-01,1.065607224490704219e+00,6.236440718585077647e+00,5.429672136051608700e-01,7.171349823988010241e-03,1.118684053015912318e-02,6.401694735307371376e-02,3.746576486876181944e-01,5.988382967930719891e-01,1.308571332284083955e+00,2.188448011595953840e-02,6.811732256906398675e+01,3.685903855692104214e-01,1.157426453792748555e+00,6.102801023547199666e-01,-1.189980818023269292e-02,0.000000000000000000e+00,3.625494651371871102e-01
9.112831163724203876e+00,1.982806781889021597e-01,1.824211734242910388e-01,9.179112955981171273e-01,5.919712393143639062e+00,5.580027997311435284e-01,1.214125133827024736e-02,1.117013183632769441e-02,5.620614095074132066e-02,3.624796761435170045e-01,6.011754083795008974e-01,1.327039391136630053e+00,2.292819382720900218e-02,6.509091696163213214e+01,3.672694445905321237e-01,1.136293222853999252e+00,6.134861402672086017e-01,1.234463054853729078e-02,0.000000000000000000e+00,3.696566679275460898e-01
9.083484499349003372e+00,1.705122634512900304e-01,1.078366674241454659e-01,1.243930689680494694e+00,6.980512557738931534e+00,5.165098142062194420e-01,9.695756900495582434e-03,6.131864601063068999e-03,7.073303306218375885e-02,3.969295312300381018e-01,6.023792391151625569e-01,1.316930645827625090e+00,2.316072342430380154e-02,6.470731487644924584e+01,3.757746842656521369e-01,1.142512243554088869e+00,6.089037562430530404e-01,-9.260837001679126518e-03,0.000000000000000000e+00,3.539827020371441035e-01
9.137325069776530029e+00,1.899230969531595647e-01,1.754349644540087738e-01,1.064807879976805260e+00,7.496427442237119543e+00,5.058329450140924832e-01,1.051394787034355335e-02,9.711899713597932013e-03,5.894667221421865527e-02,4.149945351877474264e-01,5.965898409605003838e-01,1.309937715345901754e+00,2.326138975863597733e-02,6.541759230616851539e+01,3.756190348438389615e-01,1.196659415144833094e+00,6.015560441206823095e-01,1.489258976825289958e-03,0.000000000000000000e+00,3.588258776640551040e-01
9.095451957166583057e+00,1.726534823463701240e-01,1.673736293131980746e-01,1.056523102787678248e+00,6.261629862493863996e+00,5.428943370995440443e-01,1.030543597918800146e-02,9.990289208480425051e-03,6.306233183567404310e-02,3.737476058771133647e-01,5.933705433020527442e-01,1.337380205265471522e+00,2.254155218857822884e-02,6.646557189622201633e+01,3.722217912303891763e-01,1.168205734917428185e+00,6.004117645621304122e-01,-9.260837001679126518e-03,0.000000000000000000e+00,3.072355847696729425e-01
